OTI ID,Title,Created By,Assignee,Status,Priority,Date,Start Time,End Time,Hours,Notes
OTI-10261,Third-Party API Integration Tests,Alex,Riley,In Progress,Medium,2/17/2026,9:00,14:00,5,
OTI-10045,Database Schema Migration,Taylor,Riley,In Progress,Medium,2/18/2026,9:00,13:00,4,
OTI-10089,Frontend Performance Optimisation,Morgan,Taylor,In Progress,Low,2/18/2026,10:00,13:00,3,
OTI-10156,Data Export Feature,Alex,Riley,Blocked,XXL,2/18/2026,10:00,17:00,7,
OTI-10261,Third-Party API Integration Tests,Alex,Riley,In Progress,Medium,2/18/2026,16:00,19:00,3,
OTI-10219,CI/CD Pipeline Setup,Quinn,Jordan,In Progress,Medium,2/19/2026,14:00,20:00,6,
OTI-10261,Third-Party API Integration Tests,Alex,Riley,In Progress,Medium,2/19/2026,16:00,20:00,4,
OTI-10045,Database Schema Migration,Taylor,Riley,In Progress,Medium,2/20/2026,14:00,22:00,8,
OTI-10045,Database Schema Migration,Taylor,Riley,In Progress,Medium,2/23/2026,16:00,22:00,6,
OTI-10089,Frontend Performance Optimisation,Morgan,Taylor,In Progress,Low,2/23/2026,14:00,21:00,7,
OTI-10156,Data Export Feature,Alex,Riley,Blocked,XXL,2/23/2026,16:00,19:00,3,
OTI-10219,CI/CD Pipeline Setup,Quinn,Jordan,In Progress,Medium,2/23/2026,9:00,16:00,7,
OTI-10261,Third-Party API Integration Tests,Alex,Riley,In Progress,Medium,2/23/2026,10:00,13:00,3,
OTI-10045,Database Schema Migration,Taylor,Riley,In Progress,Medium,2/24/2026,16:00,18:00,2,
OTI-10261,Third-Party API Integration Tests,Alex,Riley,In Progress,Medium,2/24/2026,10:00,15:00,5,
OTI-10156,Data Export Feature,Alex,Riley,Blocked,XXL,2/25/2026,16:00,19:00,3,
OTI-10067,API Rate Limiting Implementation,Jordan,Alex,In Progress,High,2/26/2026,14:00,21:00,7,
OTI-10089,Frontend Performance Optimisation,Morgan,Taylor,In Progress,Low,2/26/2026,16:00,22:00,6,
OTI-10134,Notification Service Refactor,Casey,Quinn,Blocked,Medium,2/26/2026,14:00,19:00,5,
OTI-10156,Data Export Feature,Alex,Riley,Blocked,XXL,2/26/2026,9:00,16:00,7,
OTI-10219,CI/CD Pipeline Setup,Quinn,Jordan,In Progress,Medium,2/26/2026,14:00,21:00,7,
OTI-10261,Third-Party API Integration Tests,Alex,Riley,In Progress,Medium,2/26/2026,14:00,22:00,8,
OTI-10045,Database Schema Migration,Taylor,Riley,In Progress,Medium,2/27/2026,14:00,22:00,8,
OTI-10219,CI/CD Pipeline Setup,Quinn,Jordan,In Progress,Medium,2/27/2026,10:00,14:00,4,
OTI-10045,Database Schema Migration,Taylor,Riley,In Progress,Medium,3/2/2026,14:00,20:00,6,
OTI-10067,API Rate Limiting Implementation,Jordan,Alex,In Progress,High,3/2/2026,9:00,15:00,6,
OTI-10089,Frontend Performance Optimisation,Morgan,Taylor,In Progress,Low,3/2/2026,14:00,17:00,3,
OTI-10134,Notification Service Refactor,Casey,Quinn,Blocked,Medium,3/2/2026,16:00,18:00,2,
OTI-10156,Data Export Feature,Alex,Riley,Blocked,XXL,3/2/2026,14:00,19:00,5,
OTI-10045,Database Schema Migration,Taylor,Riley,In Progress,Medium,3/3/2026,9:00,11:00,2,
OTI-10089,Frontend Performance Optimisation,Morgan,Taylor,In Progress,Low,3/3/2026,16:00,18:00,2,
OTI-10134,Notification Service Refactor,Casey,Quinn,Blocked,Medium,3/3/2026,10:00,12:00,2,
OTI-10089,Frontend Performance Optimisation,Morgan,Taylor,In Progress,Low,3/4/2026,9:00,12:00,3,
OTI-10118,Payment Gateway Integration,Riley,Morgan,In Progress,XXL,3/4/2026,10:00,13:00,3,
OTI-10156,Data Export Feature,Alex,Riley,Blocked,XXL,3/4/2026,16:00,23:00,7,
OTI-10067,API Rate Limiting Implementation,Jordan,Alex,In Progress,High,3/5/2026,10:00,16:00,6,
OTI-10134,Notification Service Refactor,Casey,Quinn,Blocked,Medium,3/5/2026,9:00,15:00,6,
OTI-10248,Error Logging and Monitoring,Casey,Quinn,In Progress,Low,3/5/2026,10:00,17:00,7,
OTI-10045,Database Schema Migration,Taylor,Riley,In Progress,Medium,3/6/2026,10:00,18:00,8,
OTI-10205,Search Indexing Optimisation,Morgan,Riley,Completed,Medium,3/6/2026,16:00,20:00,4,
OTI-10045,Database Schema Migration,Taylor,Riley,In Progress,Medium,3/9/2026,9:00,17:00,8,
OTI-10067,API Rate Limiting Implementation,Jordan,Alex,In Progress,High,3/9/2026,10:00,13:00,3,
OTI-10089,Frontend Performance Optimisation,Morgan,Taylor,In Progress,Low,3/9/2026,10:00,18:00,8,
OTI-10118,Payment Gateway Integration,Riley,Morgan,In Progress,XXL,3/9/2026,16:00,22:00,6,
OTI-10134,Notification Service Refactor,Casey,Quinn,Blocked,Medium,3/9/2026,10:00,16:00,6,
OTI-10205,Search Indexing Optimisation,Morgan,Riley,Completed,Medium,3/9/2026,16:00,19:00,3,
OTI-10248,Error Logging and Monitoring,Casey,Quinn,In Progress,Low,3/9/2026,10:00,17:00,7,
OTI-10045,Database Schema Migration,Taylor,Riley,In Progress,Medium,3/10/2026,9:00,14:00,5,
OTI-10118,Payment Gateway Integration,Riley,Morgan,In Progress,XXL,3/10/2026,14:00,20:00,6,
OTI-10134,Notification Service Refactor,Casey,Quinn,Blocked,Medium,3/10/2026,9:00,11:00,2,
OTI-10205,Search Indexing Optimisation,Morgan,Riley,Completed,Medium,3/10/2026,14:00,17:00,3,
OTI-10067,API Rate Limiting Implementation,Jordan,Alex,In Progress,High,3/11/2026,16:00,20:00,4,
OTI-10192,Mobile Responsive UI Updates,Jordan,Alex,In Progress,XXL,3/11/2026,9:00,14:00,5,
OTI-10205,Search Indexing Optimisation,Morgan,Riley,Completed,Medium,3/11/2026,9:00,16:00,7,
OTI-10248,Error Logging and Monitoring,Casey,Quinn,In Progress,Low,3/11/2026,16:00,22:00,6,
OTI-10045,Database Schema Migration,Taylor,Riley,In Progress,Medium,3/12/2026,16:00,23:00,7,
OTI-10089,Frontend Performance Optimisation,Morgan,Taylor,In Progress,Low,3/12/2026,16:00,22:00,6,
OTI-10102,Security Audit User Permissions,Quinn,Riley,Blocked,Low,3/12/2026,14:00,22:00,8,
OTI-10248,Error Logging and Monitoring,Casey,Quinn,In Progress,Low,3/12/2026,9:00,11:00,2,
OTI-10089,Frontend Performance Optimisation,Morgan,Taylor,In Progress,Low,3/13/2026,16:00,21:00,5,
OTI-10118,Payment Gateway Integration,Riley,Morgan,In Progress,XXL,3/13/2026,16:00,19:00,3,
OTI-10134,Notification Service Refactor,Casey,Quinn,Blocked,Medium,3/13/2026,9:00,12:00,3,
OTI-10205,Search Indexing Optimisation,Morgan,Riley,Completed,Medium,3/13/2026,9:00,11:00,2,
OTI-10067,API Rate Limiting Implementation,Jordan,Alex,In Progress,High,3/16/2026,10:00,17:00,7,
OTI-10089,Frontend Performance Optimisation,Morgan,Taylor,In Progress,Low,3/16/2026,16:00,22:00,6,
OTI-10102,Security Audit User Permissions,Quinn,Riley,Blocked,Low,3/16/2026,14:00,16:00,2,
OTI-10134,Notification Service Refactor,Casey,Quinn,Blocked,Medium,3/16/2026,9:00,17:00,8,
OTI-10192,Mobile Responsive UI Updates,Jordan,Alex,In Progress,XXL,3/16/2026,9:00,11:00,2,
OTI-10205,Search Indexing Optimisation,Morgan,Riley,Completed,Medium,3/16/2026,16:00,22:00,6,
OTI-10248,Error Logging and Monitoring,Casey,Quinn,In Progress,Low,3/16/2026,10:00,16:00,6,
OTI-10248,Error Logging and Monitoring,Casey,Quinn,In Progress,Low,3/17/2026,14:00,20:00,6,
OTI-10102,Security Audit User Permissions,Quinn,Riley,Blocked,Low,3/18/2026,16:00,19:00,3,
OTI-10134,Notification Service Refactor,Casey,Quinn,Blocked,Medium,3/18/2026,9:00,15:00,6,
OTI-10192,Mobile Responsive UI Updates,Jordan,Alex,In Progress,XXL,3/19/2026,9:00,11:00,2,
OTI-10205,Search Indexing Optimisation,Morgan,Riley,Completed,Medium,3/19/2026,10:00,12:00,2,
OTI-10102,Security Audit User Permissions,Quinn,Riley,Blocked,Low,3/20/2026,9:00,16:00,7,
OTI-10192,Mobile Responsive UI Updates,Jordan,Alex,In Progress,XXL,3/20/2026,10:00,15:00,5,
OTI-10248,Error Logging and Monitoring,Casey,Quinn,In Progress,Low,3/20/2026,10:00,15:00,5,
OTI-10102,Security Audit User Permissions,Quinn,Riley,Blocked,Low,3/23/2026,14:00,20:00,6,
OTI-10192,Mobile Responsive UI Updates,Jordan,Alex,In Progress,XXL,3/23/2026,16:00,19:00,3,
OTI-10205,Search Indexing Optimisation,Morgan,Riley,Completed,Medium,3/23/2026,9:00,17:00,8,
OTI-10248,Error Logging and Monitoring,Casey,Quinn,In Progress,Low,3/23/2026,9:00,13:00,4,
OTI-10102,Security Audit User Permissions,Quinn,Riley,Blocked,Low,3/24/2026,9:00,17:00,8,
OTI-10205,Search Indexing Optimisation,Morgan,Riley,Completed,Medium,3/24/2026,9:00,15:00,6,
OTI-10192,Mobile Responsive UI Updates,Jordan,Alex,In Progress,XXL,3/25/2026,9:00,12:00,3,
OTI-10205,Search Indexing Optimisation,Morgan,Riley,Completed,Medium,3/25/2026,10:00,15:00,5,
OTI-10205,Search Indexing Optimisation,Morgan,Riley,Completed,Medium,3/26/2026,10:00,16:00,6,
OTI-10102,Security Audit User Permissions,Quinn,Riley,Blocked,Low,3/27/2026,14:00,22:00,8,
OTI-10102,Security Audit User Permissions,Quinn,Riley,Blocked,Low,3/30/2026,10:00,13:00,3,
OTI-10205,Search Indexing Optimisation,Morgan,Riley,Completed,Medium,3/30/2026,9:00,15:00,6,
OTI-10205,Search Indexing Optimisation,Morgan,Riley,Completed,Medium,3/31/2026,16:00,23:00,7,
OTI-10102,Security Audit User Permissions,Quinn,Riley,Blocked,Low,4/1/2026,10:00,16:00,6,
OTI-10205,Search Indexing Optimisation,Morgan,Riley,Completed,Medium,4/3/2026,14:00,18:00,4,
OTI-10102,Security Audit User Permissions,Quinn,Riley,Blocked,Low,4/6/2026,9:00,15:00,6,
OTI-10205,Search Indexing Optimisation,Morgan,Riley,Completed,Medium,4/6/2026,14:00,17:00,3,
OTI-10102,Security Audit User Permissions,Quinn,Riley,Blocked,Low,4/8/2026,16:00,18:00,2,
OTI-10102,Security Audit User Permissions,Quinn,Riley,Blocked,Low,4/9/2026,14:00,22:00,6,
OTI-10102,Security Audit User Permissions,Quinn,Riley,Blocked,Low,4/13/2026,10:00,12:00,2,
OTI-10023,Update Authentication Flow,Alex,Jordan,Completed,Medium,5/2/2026,9:00,17:00,8,Final review done
OTI-10023,Update Authentication Flow,Alex,Jordan,Completed,Medium,5/5/2026,10:00,14:00,4,Closed out
OTI-10045,Database Schema Migration,Taylor,Casey,Completed,Medium,5/1/2026,9:00,16:00,7,Migration complete
OTI-10067,API Rate Limiting Implementation,Jordan,Quinn,In Progress,High,5/6/2026,14:00,18:00,4,
OTI-10067,API Rate Limiting Implementation,Jordan,Quinn,In Progress,High,5/7/2026,9:00,15:00,6,Rate limits tested
OTI-10290,User Dashboard Redesign,Morgan,Alex,In Progress,High,5/5/2026,9:00,17:00,8,Kickoff complete
OTI-10290,User Dashboard Redesign,Morgan,Alex,In Progress,High,5/6/2026,10:00,16:00,6,Wireframes done
OTI-10290,User Dashboard Redesign,Morgan,Alex,In Progress,High,5/7/2026,9:00,13:00,4,
OTI-10291,Performance Testing Suite,Casey,Taylor,In Progress,XXL,5/6/2026,14:00,22:00,8,Load tests running
OTI-10291,Performance Testing Suite,Casey,Taylor,Blocked,XXL,5/7/2026,9:00,13:00,4,Blocked on infra access
