"OTI ID","Title","Created By","Assignee","Status","Priority","Date","Start Time","End Time","Hours","Notes"
"OTI-10045","Database Schema Migration","Taylor","Riley","In Progress","Medium","2026-02-20","14:00","22:00","8",""
"OTI-10045","Database Schema Migration","Taylor","Riley","In Progress","Medium","2026-02-23","16:00","22:00","6",""
"OTI-10089","Frontend Performance Optimisation","Morgan","Taylor","In Progress","Low","2026-02-23","14:00","21:00","7",""
"OTI-10156","Data Export Feature","Alex","Riley","Blocked","XXL","2026-02-23","16:00","19:00","3",""
"OTI-10219","CI/CD Pipeline Setup","Quinn","Jordan","In Progress","Medium","2026-02-23","09:00","16:00","7",""
"OTI-10261","Third-Party API Integration Tests","Alex","Riley","In Progress","Medium","2026-02-23","10:00","13:00","3",""
"OTI-10045","Database Schema Migration","Taylor","Riley","In Progress","Medium","2026-02-24","16:00","18:00","2",""
"OTI-10261","Third-Party API Integration Tests","Alex","Riley","In Progress","Medium","2026-02-24","10:00","15:00","5",""
"OTI-10156","Data Export Feature","Alex","Riley","Blocked","XXL","2026-02-25","16:00","19:00","3",""
"OTI-10067","API Rate Limiting Implementation","Jordan","Alex","In Progress","High","2026-02-26","14:00","21:00","7",""
"OTI-10089","Frontend Performance Optimisation","Morgan","Taylor","In Progress","Low","2026-02-26","16:00","22:00","6",""
"OTI-10134","Notification Service Refactor","Casey","Quinn","Blocked","Medium","2026-02-26","14:00","19:00","5",""
"OTI-10156","Data Export Feature","Alex","Riley","Blocked","XXL","2026-02-26","09:00","16:00","7",""
"OTI-10219","CI/CD Pipeline Setup","Quinn","Jordan","In Progress","Medium","2026-02-26","14:00","21:00","7",""
"OTI-10261","Third-Party API Integration Tests","Alex","Riley","In Progress","Medium","2026-02-26","14:00","22:00","8",""
"OTI-10045","Database Schema Migration","Taylor","Riley","In Progress","Medium","2026-02-27","14:00","22:00","8",""
"OTI-10219","CI/CD Pipeline Setup","Quinn","Jordan","In Progress","Medium","2026-02-27","10:00","14:00","4",""
"OTI-10045","Database Schema Migration","Taylor","Riley","In Progress","Medium","2026-03-02","14:00","20:00","6",""
"OTI-10067","API Rate Limiting Implementation","Jordan","Alex","In Progress","High","2026-03-02","09:00","15:00","6",""
"OTI-10089","Frontend Performance Optimisation","Morgan","Taylor","In Progress","Low","2026-03-02","14:00","17:00","3",""
"OTI-10134","Notification Service Refactor","Casey","Quinn","Blocked","Medium","2026-03-02","16:00","18:00","2",""
"OTI-10156","Data Export Feature","Alex","Riley","Blocked","XXL","2026-03-02","14:00","19:00","5",""
"OTI-10045","Database Schema Migration","Taylor","Riley","In Progress","Medium","2026-03-03","09:00","11:00","2",""
"OTI-10089","Frontend Performance Optimisation","Morgan","Taylor","In Progress","Low","2026-03-03","16:00","18:00","2",""
"OTI-10134","Notification Service Refactor","Casey","Quinn","Blocked","Medium","2026-03-03","10:00","12:00","2",""
"OTI-10089","Frontend Performance Optimisation","Morgan","Taylor","In Progress","Low","2026-03-04","09:00","12:00","3",""
"OTI-10118","Payment Gateway Integration","Riley","Morgan","In Progress","XXL","2026-03-04","10:00","13:00","3",""
"OTI-10156","Data Export Feature","Alex","Riley","Blocked","XXL","2026-03-04","16:00","23:00","7",""
"OTI-10067","API Rate Limiting Implementation","Jordan","Alex","In Progress","High","2026-03-05","10:00","16:00","6",""
"OTI-10134","Notification Service Refactor","Casey","Quinn","Blocked","Medium","2026-03-05","09:00","15:00","6",""
"OTI-10248","Error Logging and Monitoring","Casey","Quinn","In Progress","Low","2026-03-05","10:00","17:00","7",""
"OTI-10045","Database Schema Migration","Taylor","Riley","In Progress","Medium","2026-03-06","10:00","18:00","8",""
"OTI-10205","Search Indexing Optimisation","Morgan","Riley","Completed","Medium","2026-03-06","16:00","20:00","4",""
"OTI-10045","Database Schema Migration","Taylor","Riley","In Progress","Medium","2026-03-09","09:00","17:00","8",""
"OTI-10067","API Rate Limiting Implementation","Jordan","Alex","In Progress","High","2026-03-09","10:00","13:00","3",""
"OTI-10089","Frontend Performance Optimisation","Morgan","Taylor","In Progress","Low","2026-03-09","10:00","18:00","8",""
"OTI-10118","Payment Gateway Integration","Riley","Morgan","In Progress","XXL","2026-03-09","16:00","22:00","6",""
"OTI-10134","Notification Service Refactor","Casey","Quinn","Blocked","Medium","2026-03-09","10:00","16:00","6",""
"OTI-10205","Search Indexing Optimisation","Morgan","Riley","Completed","Medium","2026-03-09","16:00","19:00","3",""
"OTI-10248","Error Logging and Monitoring","Casey","Quinn","In Progress","Low","2026-03-09","10:00","17:00","7",""
"OTI-10045","Database Schema Migration","Taylor","Riley","In Progress","Medium","2026-03-10","09:00","14:00","5",""
"OTI-10118","Payment Gateway Integration","Riley","Morgan","In Progress","XXL","2026-03-10","14:00","20:00","6",""
"OTI-10134","Notification Service Refactor","Casey","Quinn","Blocked","Medium","2026-03-10","09:00","11:00","2",""
"OTI-10205","Search Indexing Optimisation","Morgan","Riley","Completed","Medium","2026-03-10","14:00","17:00","3",""
"OTI-10067","API Rate Limiting Implementation","Jordan","Alex","In Progress","High","2026-03-11","16:00","20:00","4",""
"OTI-10192","Mobile Responsive UI Updates","Jordan","Alex","In Progress","XXL","2026-03-11","09:00","14:00","5",""
"OTI-10205","Search Indexing Optimisation","Morgan","Riley","Completed","Medium","2026-03-11","09:00","16:00","7",""
"OTI-10248","Error Logging and Monitoring","Casey","Quinn","In Progress","Low","2026-03-11","16:00","22:00","6",""
"OTI-10045","Database Schema Migration","Taylor","Riley","In Progress","Medium","2026-03-12","16:00","23:00","7",""
"OTI-10089","Frontend Performance Optimisation","Morgan","Taylor","In Progress","Low","2026-03-12","16:00","22:00","6",""
"OTI-10102","Security Audit User Permissions","Quinn","Riley","Blocked","Low","2026-03-12","14:00","22:00","8",""
"OTI-10248","Error Logging and Monitoring","Casey","Quinn","In Progress","Low","2026-03-12","09:00","11:00","2",""
"OTI-10089","Frontend Performance Optimisation","Morgan","Taylor","In Progress","Low","2026-03-13","16:00","21:00","5",""
"OTI-10118","Payment Gateway Integration","Riley","Morgan","In Progress","XXL","2026-03-13","16:00","19:00","3",""
"OTI-10134","Notification Service Refactor","Casey","Quinn","Blocked","Medium","2026-03-13","09:00","12:00","3",""
"OTI-10205","Search Indexing Optimisation","Morgan","Riley","Completed","Medium","2026-03-13","09:00","11:00","2",""
"OTI-10067","API Rate Limiting Implementation","Jordan","Alex","In Progress","High","2026-03-16","10:00","17:00","7",""
"OTI-10089","Frontend Performance Optimisation","Morgan","Taylor","In Progress","Low","2026-03-16","16:00","22:00","6",""
"OTI-10102","Security Audit User Permissions","Quinn","Riley","Blocked","Low","2026-03-16","14:00","16:00","2",""
"OTI-10134","Notification Service Refactor","Casey","Quinn","Blocked","Medium","2026-03-16","09:00","17:00","8",""
"OTI-10192","Mobile Responsive UI Updates","Jordan","Alex","In Progress","XXL","2026-03-16","09:00","11:00","2",""
"OTI-10205","Search Indexing Optimisation","Morgan","Riley","Completed","Medium","2026-03-16","16:00","22:00","6",""
"OTI-10248","Error Logging and Monitoring","Casey","Quinn","In Progress","Low","2026-03-16","10:00","16:00","6",""
"OTI-10248","Error Logging and Monitoring","Casey","Quinn","In Progress","Low","2026-03-17","14:00","20:00","6",""
"OTI-10102","Security Audit User Permissions","Quinn","Riley","Blocked","Low","2026-03-18","16:00","19:00","3",""
"OTI-10134","Notification Service Refactor","Casey","Quinn","Blocked","Medium","2026-03-18","09:00","15:00","6",""
"OTI-10192","Mobile Responsive UI Updates","Jordan","Alex","In Progress","XXL","2026-03-19","09:00","11:00","2",""
"OTI-10205","Search Indexing Optimisation","Morgan","Riley","Completed","Medium","2026-03-19","10:00","12:00","2",""
"OTI-10102","Security Audit User Permissions","Quinn","Riley","Blocked","Low","2026-03-20","09:00","16:00","7",""
"OTI-10192","Mobile Responsive UI Updates","Jordan","Alex","In Progress","XXL","2026-03-20","10:00","15:00","5",""
"OTI-10248","Error Logging and Monitoring","Casey","Quinn","In Progress","Low","2026-03-20","10:00","15:00","5",""
"OTI-10102","Security Audit User Permissions","Quinn","Riley","Blocked","Low","2026-03-23","14:00","20:00","6",""
"OTI-10192","Mobile Responsive UI Updates","Jordan","Alex","In Progress","XXL","2026-03-23","16:00","19:00","3",""
"OTI-10205","Search Indexing Optimisation","Morgan","Riley","Completed","Medium","2026-03-23","09:00","17:00","8",""
"OTI-10248","Error Logging and Monitoring","Casey","Quinn","In Progress","Low","2026-03-23","09:00","13:00","4",""
"OTI-10102","Security Audit User Permissions","Quinn","Riley","Blocked","Low","2026-03-24","09:00","17:00","8",""
"OTI-10205","Search Indexing Optimisation","Morgan","Riley","Completed","Medium","2026-03-24","09:00","15:00","6",""
"OTI-10192","Mobile Responsive UI Updates","Jordan","Alex","In Progress","XXL","2026-03-25","09:00","12:00","3",""
"OTI-10205","Search Indexing Optimisation","Morgan","Riley","Completed","Medium","2026-03-25","10:00","15:00","5",""
"OTI-10205","Search Indexing Optimisation","Morgan","Riley","Completed","Medium","2026-03-26","10:00","16:00","6",""
"OTI-10102","Security Audit User Permissions","Quinn","Riley","Blocked","Low","2026-03-27","14:00","22:00","8",""
"OTI-10102","Security Audit User Permissions","Quinn","Riley","Blocked","Low","2026-03-30","10:00","13:00","3",""
"OTI-10205","Search Indexing Optimisation","Morgan","Riley","Completed","Medium","2026-03-30","09:00","15:00","6",""
"OTI-10205","Search Indexing Optimisation","Morgan","Riley","Completed","Medium","2026-03-31","16:00","23:00","7",""
"OTI-10102","Security Audit User Permissions","Quinn","Riley","Blocked","Low","2026-04-01","10:00","16:00","6",""
"OTI-10205","Search Indexing Optimisation","Morgan","Riley","Completed","Medium","2026-04-03","14:00","18:00","4",""
"OTI-10102","Security Audit User Permissions","Quinn","Riley","Blocked","Low","2026-04-06","09:00","15:00","6",""
"OTI-10205","Search Indexing Optimisation","Morgan","Riley","Completed","Medium","2026-04-06","14:00","17:00","3",""
"OTI-10102","Security Audit User Permissions","Quinn","Riley","Blocked","Low","2026-04-08","16:00","18:00","2",""
"OTI-10102","Security Audit User Permissions","Quinn","Riley","Blocked","Low","2026-04-09","14:00","22:00","8",""
"OTI-10102","Security Audit User Permissions","Quinn","Riley","Blocked","Low","2026-04-13","10:00","12:00","2",""
